"","date","value"
"414",1982-06-01,9.6
"415",1982-07-01,9.8
"416",1982-08-01,9.8
"417",1982-09-01,10.1
"418",1982-10-01,10.4
"419",1982-11-01,10.8
"420",1982-12-01,10.8
"421",1983-01-01,10.4
"422",1983-02-01,10.4
"423",1983-03-01,10.3
"424",1983-04-01,10.2
"425",1983-05-01,10.1
"426",1983-06-01,10.1
"427",1983-07-01,9.4
"428",1983-08-01,9.5
"429",1983-09-01,9.2
"430",1983-10-01,8.8
"431",1983-11-01,8.5
"432",1983-12-01,8.3
"433",1984-01-01,8
"434",1984-02-01,7.8
"435",1984-03-01,7.8
"436",1984-04-01,7.7
"437",1984-05-01,7.4
"438",1984-06-01,7.2
"439",1984-07-01,7.5
"440",1984-08-01,7.5
"441",1984-09-01,7.3
"442",1984-10-01,7.4
"443",1984-11-01,7.2
"444",1984-12-01,7.3
"445",1985-01-01,7.3
"446",1985-02-01,7.2
"447",1985-03-01,7.2
"448",1985-04-01,7.3
"449",1985-05-01,7.2
"450",1985-06-01,7.4
"451",1985-07-01,7.4
"452",1985-08-01,7.1
"453",1985-09-01,7.1
"454",1985-10-01,7.1
"455",1985-11-01,7
"456",1985-12-01,7
"457",1986-01-01,6.7
"458",1986-02-01,7.2
"459",1986-03-01,7.2
"460",1986-04-01,7.1
"461",1986-05-01,7.2
"462",1986-06-01,7.2
"463",1986-07-01,7
"464",1986-08-01,6.9
"465",1986-09-01,7
"466",1986-10-01,7
"467",1986-11-01,6.9
"468",1986-12-01,6.6
"469",1987-01-01,6.6
"470",1987-02-01,6.6
"471",1987-03-01,6.6
"472",1987-04-01,6.3
"473",1987-05-01,6.3
"474",1987-06-01,6.2
"475",1987-07-01,6.1
"476",1987-08-01,6
"477",1987-09-01,5.9
"478",1987-10-01,6
"479",1987-11-01,5.8
"480",1987-12-01,5.7
"481",1988-01-01,5.7
"482",1988-02-01,5.7
"483",1988-03-01,5.7
"484",1988-04-01,5.4
"485",1988-05-01,5.6
"486",1988-06-01,5.4
"487",1988-07-01,5.4
"488",1988-08-01,5.6
"489",1988-09-01,5.4
"490",1988-10-01,5.4
"491",1988-11-01,5.3
"492",1988-12-01,5.3
"493",1989-01-01,5.4
"494",1989-02-01,5.2
"495",1989-03-01,5
"496",1989-04-01,5.2
"497",1989-05-01,5.2
"498",1989-06-01,5.3
"499",1989-07-01,5.2
"500",1989-08-01,5.2
"501",1989-09-01,5.3
